id,user_id,date,amount,type,from_wallet_id,to_wallet_id,subscription_id,description,vat_amount,created_at
715ad327-c255-4ee4-8e1e-cdceea9cdd111,5e189da8-2f10-43a6-bb19-be0b05f098ba,28-05-25 0:00,1000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd112,5e189da8-2f10-43a6-bb19-be0b05f098ba,11-06-25 0:00,7500,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd113,5e189da8-2f10-43a6-bb19-be0b05f098ba,15-06-25 0:00,500,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd114,5e189da8-2f10-43a6-bb19-be0b05f098ba,16-06-25 0:00,1000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd115,5e189da8-2f10-43a6-bb19-be0b05f098ba,30-06-25 0:00,400,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd116,5e189da8-2f10-43a6-bb19-be0b05f098ba,30-06-25 0:00,6000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd117,5e189da8-2f10-43a6-bb19-be0b05f098ba,30-06-25 0:00,10000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd118,5e189da8-2f10-43a6-bb19-be0b05f098ba,09-07-25 0:00,12000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd119,5e189da8-2f10-43a6-bb19-be0b05f098ba,17-07-25 0:00,1000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd120,5e189da8-2f10-43a6-bb19-be0b05f098ba,23-07-25 0:00,1000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd121,5e189da8-2f10-43a6-bb19-be0b05f098ba,28-07-25 0:00,12000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd122,5e189da8-2f10-43a6-bb19-be0b05f098ba,03-08-25 0:00,600,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd123,5e189da8-2f10-43a6-bb19-be0b05f098ba,03-08-25 0:00,500,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd124,5e189da8-2f10-43a6-bb19-be0b05f098ba,04-08-25 0:00,300,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd125,5e189da8-2f10-43a6-bb19-be0b05f098ba,05-08-25 0:00,600,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd126,5e189da8-2f10-43a6-bb19-be0b05f098ba,10-08-25 0:00,13700,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd127,5e189da8-2f10-43a6-bb19-be0b05f098ba,17-08-25 0:00,2000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd128,5e189da8-2f10-43a6-bb19-be0b05f098ba,20-08-25 0:00,1500,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd129,5e189da8-2f10-43a6-bb19-be0b05f098ba,27-08-25 0:00,13000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd130,5e189da8-2f10-43a6-bb19-be0b05f098ba,28-08-25 0:00,4000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
